camis,boro,critical_flag,cuisine_description,inspection_date,score,grade
50016481,Bronx,Not Critical,African,2016-05-18T00:00:00Z,12,A
50040677,Brooklyn,Critical,Mexican,2017-09-20T00:00:00Z,7,A
50014705,Brooklyn,Not Critical,"Juice, Smoothies, Fruit Salads",2015-05-18T00:00:00Z,13,A
50002121,Manhattan,Critical,Delicatessen,2014-06-23T00:00:00Z,25,B
41699551,Manhattan,Not Critical,American,2016-09-08T00:00:00Z,12,A
50004620,Brooklyn,Not Critical,Asian,2017-10-12T00:00:00Z,5,A
50037612,Queens,Critical,"Juice, Smoothies, Fruit Salads",2017-02-23T00:00:00Z,7,A
40892252,Manhattan,Not Critical,American,2017-09-29T00:00:00Z,12,A
50003966,Brooklyn,Critical,Middle Eastern,2015-02-09T00:00:00Z,8,A
41642833,Staten Island,Critical,American,2014-07-31T00:00:00Z,10,A
50037446,Queens,Critical,"Ice Cream, Gelato, Yogurt, Ices",2016-08-10T00:00:00Z,10,A
41641642,Manhattan,Not Critical,Chinese,2015-01-14T00:00:00Z,20,B
41163097,Queens,Not Critical,American,2016-11-16T00:00:00Z,13,A
40390266,Bronx,Not Critical,American,2014-10-01T00:00:00Z,13,A
41608874,Staten Island,Critical,American,2015-09-02T00:00:00Z,20,B
41612393,Manhattan,Critical,Irish,2015-11-25T00:00:00Z,19,B
41254301,Staten Island,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",2017-07-17T00:00:00Z,12,A
41486961,Brooklyn,Critical,Vietnamese/Cambodian/Malaysia,2015-10-06T00:00:00Z,12,A
41547472,Manhattan,Critical,American,2014-09-22T00:00:00Z,7,A
40855909,Manhattan,Critical,Italian,2015-09-08T00:00:00Z,13,A
41639463,Manhattan,Critical,American,2014-09-19T00:00:00Z,10,A
41313429,Manhattan,Not Critical,Donuts,2015-11-06T00:00:00Z,9,A
41582873,Manhattan,Not Critical,Japanese,2014-08-28T00:00:00Z,10,A
41221268,Queens,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2017-01-06T00:00:00Z,7,A
41420811,Manhattan,Critical,Cafe/coffee/Tea,2015-07-24T00:00:00Z,9,A
50033233,Manhattan,Not Critical,Asian,2017-05-16T00:00:00Z,13,A
41047251,Queens,Not Critical,Bakery,2014-07-31T00:00:00Z,11,A
50051703,Bronx,Critical,Chinese,2017-05-04T00:00:00Z,7,A
41142578,Manhattan,Not Critical,Cafe/coffee/Tea,2015-04-09T00:00:00Z,11,A
50068055,Manhattan,Critical,"Juice, Smoothies, Fruit Salads",2017-09-08T00:00:00Z,5,A
41567090,Manhattan,Critical,Chinese,2014-11-13T00:00:00Z,9,A
41639964,Manhattan,Critical,American,2017-04-05T00:00:00Z,10,A
41072927,Brooklyn,Not Critical,American,2017-03-11T00:00:00Z,9,A
40395036,Queens,Critical,American,2015-01-15T00:00:00Z,11,A
41562420,Queens,Not Critical,Bakery,2016-09-20T00:00:00Z,13,A
50011080,Queens,Not Critical,Spanish,2014-07-07T00:00:00Z,9,A
40945691,Bronx,Critical,Mexican,2015-02-25T00:00:00Z,13,A
50008546,Queens,Not Critical,American,2016-09-07T00:00:00Z,12,A
50046224,Manhattan,Critical,Pizza,2016-08-03T00:00:00Z,24,B
41702558,Bronx,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-03-02T00:00:00Z,18,B
40888264,Queens,Critical,Sandwiches,2016-03-10T00:00:00Z,19,B
50036694,Bronx,Critical,"Juice, Smoothies, Fruit Salads",2017-02-10T00:00:00Z,9,A
50048963,Manhattan,Critical,Asian,2016-10-17T00:00:00Z,25,B
50001255,Manhattan,Not Critical,Italian,2013-11-13T00:00:00Z,9,A
50036964,Manhattan,Not Critical,Sandwiches/Salads/Mixed Buffet,2016-07-13T00:00:00Z,10,A
50009321,Manhattan,Not Critical,Spanish,2016-01-26T00:00:00Z,10,A
40994221,Manhattan,Not Applicable,Italian,2017-06-23T00:00:00Z,11,A
50058348,Queens,Critical,Chinese,2017-10-16T00:00:00Z,10,A
40365844,Queens,Not Critical,American,2017-03-08T00:00:00Z,10,A
41532133,Brooklyn,Not Critical,American,2015-02-04T00:00:00Z,7,A
50014333,Manhattan,Not Critical,American,2015-01-05T00:00:00Z,10,A
41508109,Manhattan,Critical,Thai,2016-02-10T00:00:00Z,23,B
50051357,Queens,Not Critical,Cafe/coffee/Tea,2016-10-14T00:00:00Z,12,A
41300301,Bronx,Not Critical,Bakery,2015-08-13T00:00:00Z,10,A
40369869,Manhattan,Not Critical,Irish,2015-11-30T00:00:00Z,7,A
50009372,Queens,Not Critical,Mexican,2016-10-20T00:00:00Z,12,A
40614573,Brooklyn,Critical,Caribbean,2016-05-12T00:00:00Z,18,B
41011581,Manhattan,Critical,American,2016-01-06T00:00:00Z,12,A
40928698,Manhattan,Critical,Greek,2014-06-21T00:00:00Z,12,A
41504873,Bronx,Critical,Spanish,2015-01-06T00:00:00Z,19,B
50042900,Brooklyn,Not Critical,Mexican,2016-08-08T00:00:00Z,12,A
41063300,Queens,Critical,Italian,2014-01-09T00:00:00Z,12,A
50002749,Brooklyn,Not Critical,Mexican,2016-06-29T00:00:00Z,34,C
41331535,Brooklyn,Not Critical,"Bottled beverages, including water, sodas, juices, etc.",2015-03-04T00:00:00Z,13,A
41627201,Manhattan,Critical,Armenian,2014-05-02T00:00:00Z,13,A
50014052,Brooklyn,Critical,Seafood,2014-09-16T00:00:00Z,12,A
50001637,Brooklyn,Critical,Spanish,2015-07-31T00:00:00Z,73,C
50007382,Brooklyn,Not Critical,Eastern European,2015-02-02T00:00:00Z,9,A
41215997,Bronx,Not Critical,Hamburgers,2015-02-18T00:00:00Z,7,A
41463147,Brooklyn,Not Critical,Chinese/Japanese,2014-03-27T00:00:00Z,16,B
41582117,Queens,Critical,American,2016-04-11T00:00:00Z,9,A
50009148,Manhattan,Critical,American,2017-05-12T00:00:00Z,13,A
50034040,Manhattan,Not Critical,Japanese,2015-07-28T00:00:00Z,26,B
40754984,Manhattan,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-12-11T00:00:00Z,16,B
41660744,Manhattan,Critical,American,2014-12-23T00:00:00Z,9,A
41040376,Bronx,Critical,Middle Eastern,2014-08-08T00:00:00Z,11,A
41544857,Brooklyn,Critical,Chinese,2015-01-12T00:00:00Z,11,A
41396554,Queens,Not Critical,Chinese,2016-08-17T00:00:00Z,13,A
50040728,Manhattan,Not Critical,Mexican,2016-10-17T00:00:00Z,12,A
41465611,Brooklyn,Critical,Chinese,2014-10-07T00:00:00Z,25,B
50040554,Brooklyn,Not Critical,Chinese,2016-12-29T00:00:00Z,9,A
40364389,Manhattan,Not Critical,American,2016-10-11T00:00:00Z,10,A
50044957,Brooklyn,Critical,Chinese,2017-04-19T00:00:00Z,7,A
40510605,Manhattan,Critical,Delicatessen,2017-04-12T00:00:00Z,13,A
41208272,Manhattan,Critical,Japanese,2017-04-12T00:00:00Z,12,A
50033690,Queens,Critical,Chinese,2016-09-28T00:00:00Z,20,B
50049331,Brooklyn,Critical,Cafe/coffee/Tea,2016-09-14T00:00:00Z,5,A
50013099,Bronx,Critical,Pizza/Italian,2016-05-26T00:00:00Z,15,B
50009170,Queens,Not Critical,Hamburgers,2015-02-02T00:00:00Z,11,A
40794463,Brooklyn,Not Critical,American,2015-10-28T00:00:00Z,5,A
41250435,Brooklyn,Critical,Pizza/Italian,2015-05-29T00:00:00Z,9,A
50012125,Manhattan,Not Critical,Sandwiches,2015-09-11T00:00:00Z,9,A
41142355,Brooklyn,Critical,Bakery,2016-09-19T00:00:00Z,25,B
41225880,Queens,Critical,American,2015-09-17T00:00:00Z,9,A
50005201,Brooklyn,Not Critical,Chinese,2017-04-20T00:00:00Z,13,A
41611858,Brooklyn,Not Critical,Jewish/Kosher,2016-06-02T00:00:00Z,12,A
41374456,Queens,Not Critical,Chinese,2015-04-10T00:00:00Z,12,A
50038545,Queens,Critical,Mexican,2015-10-09T00:00:00Z,13,A
41605848,Bronx,Not Critical,Chinese,2016-01-14T00:00:00Z,9,A
41412916,Manhattan,Not Critical,"Ice Cream, Gelato, Yogurt, Ices",2017-06-09T00:00:00Z,13,A
50008801,Bronx,Not Critical,Chinese,2015-04-23T00:00:00Z,11,A
40577393,Queens,Critical,Spanish,2014-06-28T00:00:00Z,12,A
41707474,Brooklyn,Not Critical,"Juice, Smoothies, Fruit Salads",2017-09-21T00:00:00Z,9,A
50001102,Manhattan,Not Critical,American,2017-09-26T00:00:00Z,9,A
41394975,Staten Island,Not Critical,Italian,2016-04-26T00:00:00Z,11,A
41232711,Manhattan,Not Critical,Chinese,2015-02-05T00:00:00Z,11,A
41717852,Manhattan,Critical,Irish,2016-04-25T00:00:00Z,10,A
50011542,Manhattan,Not Critical,Chinese,2015-10-05T00:00:00Z,4,A
50016289,Brooklyn,Not Critical,Chinese,2015-07-09T00:00:00Z,7,A
40925478,Queens,Not Critical,Italian,2015-02-02T00:00:00Z,25,B
41552659,Queens,Critical,Chinese,2014-12-22T00:00:00Z,11,A
40387825,Brooklyn,Critical,American,2015-01-03T00:00:00Z,12,A
41583191,Brooklyn,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-12-15T00:00:00Z,21,B
41666100,Brooklyn,Critical,Mediterranean,2014-03-12T00:00:00Z,8,A
41290269,Queens,Critical,American,2014-05-16T00:00:00Z,7,A
50008942,Brooklyn,Not Critical,Cafe/coffee/Tea,2016-08-19T00:00:00Z,7,A
41111038,Brooklyn,Critical,Bakery,2015-10-27T00:00:00Z,10,A
50052824,Brooklyn,Critical,Cafe/coffee/Tea,2017-04-04T00:00:00Z,12,A
40827157,Queens,Critical,Indian,2016-08-29T00:00:00Z,23,B
41224985,Manhattan,Not Critical,Steak,2015-11-27T00:00:00Z,11,A
50001029,Bronx,Critical,Spanish,2016-02-25T00:00:00Z,25,B
40389907,Queens,Critical,Caribbean,2017-07-18T00:00:00Z,12,A
40576150,Manhattan,Not Critical,Italian,2015-11-17T00:00:00Z,7,A
50035920,Queens,Not Critical,Caribbean,2016-12-23T00:00:00Z,11,A
41006744,Manhattan,Not Critical,Cafe/coffee/Tea,2017-06-09T00:00:00Z,12,A
40386303,Brooklyn,Critical,Pizza,2014-07-22T00:00:00Z,13,A
50004071,Brooklyn,Not Critical,Caribbean,2014-04-13T00:00:00Z,11,A
41575026,Manhattan,Critical,American,2017-05-02T00:00:00Z,10,A
50014452,Brooklyn,Not Critical,Japanese,2015-04-07T00:00:00Z,7,A
41646313,Queens,Critical,American,2014-04-24T00:00:00Z,7,A
40364889,Brooklyn,Critical,American,2014-11-28T00:00:00Z,12,A
50056945,Manhattan,Critical,American,2017-01-17T00:00:00Z,13,A
40403586,Manhattan,Not Critical,American,2014-09-22T00:00:00Z,13,A
50010628,Brooklyn,Critical,Seafood,2015-11-23T00:00:00Z,12,A
41082395,Manhattan,Not Critical,Pizza,2015-02-13T00:00:00Z,14,B
40542427,Manhattan,Not Critical,Japanese,2016-08-03T00:00:00Z,24,B
40960698,Queens,Not Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-12-12T00:00:00Z,9,A
41286996,Queens,Not Critical,American,2014-01-29T00:00:00Z,14,B
41262775,Manhattan,Not Critical,Irish,2016-01-08T00:00:00Z,16,B
40855899,Manhattan,Critical,American,2015-08-26T00:00:00Z,7,A
50045542,Brooklyn,Not Critical,Chinese,2016-03-10T00:00:00Z,12,A
40856208,Brooklyn,Critical,Pizza,2015-11-10T00:00:00Z,11,A
41311390,Queens,Not Critical,Cafe/coffee/Tea,2016-04-06T00:00:00Z,13,A
50008725,Brooklyn,Not Critical,Chinese,2016-11-15T00:00:00Z,28,C
50004216,Queens,Critical,Chicken,2016-01-13T00:00:00Z,12,A
41524890,Manhattan,Not Critical,Bakery,2015-03-20T00:00:00Z,12,A
41477202,Manhattan,Not Critical,American,2015-11-02T00:00:00Z,10,A
50019274,Staten Island,Not Critical,Pizza/Italian,2015-04-16T00:00:00Z,4,A
41455605,Manhattan,Not Critical,Sandwiches,2014-08-18T00:00:00Z,11,A
50002628,Bronx,Not Critical,American,2014-12-02T00:00:00Z,12,A
41709744,Manhattan,Critical,Soups & Sandwiches,2016-03-16T00:00:00Z,11,A
50045473,Queens,Not Critical,Asian,2017-03-15T00:00:00Z,11,A
50001751,Queens,Critical,Chinese,2017-09-19T00:00:00Z,12,A
41466918,Brooklyn,Critical,Mexican,2014-12-11T00:00:00Z,12,A
50013414,Queens,Not Critical,Chinese,2015-05-18T00:00:00Z,10,A
41670026,Brooklyn,Not Critical,American,2015-03-24T00:00:00Z,10,A
41481717,Brooklyn,Critical,Caribbean,2015-10-28T00:00:00Z,12,A
50044163,Bronx,Critical,American,2016-09-28T00:00:00Z,12,A
